strategy,price_lookback,short_lookback,volume_fast,volume_slow,breakout_lookback,ma_days,risk_lookback,accumulation_lookback,liquidity_lookback,min_liquidity_quantile,top_n,strategy_total_return,strategy_annualized_return,strategy_max_drawdown,strategy_sharpe,equal_weight_total_return,osebx_total_return,excess_vs_osebx
volume_reversal,21,21,10,50,63,50,63,63,20,0.25,10,0.06482147954190487,0.03201316328432102,-0.020165843982839493,0.6937348101152194,0.37680370343265723,0.39099862331886404,-0.32617714377695917
risk_adjusted_momentum,21,21,5,20,63,50,63,63,20,0.25,10,0.06439186756656001,0.031804239771783926,-0.029315956796718168,0.5938477692169483,0.37680370343265723,0.39099862331886404,-0.326606755752304
volume_trend_confirmation,63,21,20,100,63,50,63,63,20,0.25,10,0.06385463650522682,0.031542921159763315,-0.02228660062308807,0.7363460948131026,0.37680370343265723,0.39099862331886404,-0.3271439868136372
momentum_volume,189,21,5,20,63,50,63,63,20,0.25,3,0.06363098167250936,0.03143411214110037,-0.041118771713037905,0.6368229061022636,0.37680370343265723,0.39099862331886404,-0.3273676416463547
breakout_volume,189,21,5,20,126,50,63,63,20,0.25,3,0.06350004069259496,0.03137040351134268,-0.015858631545883517,0.6701110376993014,0.37680370343265723,0.39099862331886404,-0.3274985826262691
volume_trend_confirmation,63,21,10,50,63,50,63,63,20,0.25,10,0.06274089374602165,0.031000967603436846,-0.022286600623088182,0.7048991335856486,0.37680370343265723,0.39099862331886404,-0.3282577295728424
volume_reversal,21,21,10,50,63,50,63,63,20,0.25,8,0.06243195508821664,0.030850586163625904,-0.020165843982839493,0.6694673380971802,0.37680370343265723,0.39099862331886404,-0.3285666682306474
volume_reversal,21,21,20,100,63,50,63,63,20,0.25,3,0.062326984042973876,0.030799484662783483,-0.03150293608973498,0.640840109955201,0.37680370343265723,0.39099862331886404,-0.32867163927589016
breakout_volume,189,21,5,20,126,50,63,63,20,0.25,10,0.06230975588953669,0.030791097495392883,-0.014490018675181404,0.7877381120564115,0.37680370343265723,0.39099862331886404,-0.32868886742932735
breakout_volume,189,21,5,20,126,50,63,63,20,0.25,8,0.06230975588953669,0.030791097495392883,-0.014490018675181404,0.7877381120564115,0.37680370343265723,0.39099862331886404,-0.32868886742932735
momentum_volume,21,21,5,20,63,50,63,63,20,0.25,8,0.06229351752318357,0.030783192123164937,-0.02762524303571079,0.5718473508006001,0.37680370343265723,0.39099862331886404,-0.32870510579568046
obv_accumulation,21,21,10,50,63,50,63,63,20,0.25,10,0.0618166006148575,0.030550986385205592,-0.0346257974243841,0.5681078876131287,0.37680370343265723,0.39099862331886404,-0.32918202270400654
quiet_accumulation,21,21,20,100,63,50,63,63,20,0.25,10,0.06164864776091461,0.0304691995654085,-0.0398256327399229,0.5618863704749475,0.37680370343265723,0.39099862331886404,-0.3293499755579494
obv_accumulation,21,21,5,20,63,50,63,63,20,0.25,10,0.06163771004141605,0.030463873077493098,-0.03478843977202151,0.5668175787353127,0.37680370343265723,0.39099862331886404,-0.329360913277448
momentum_volume,63,21,20,100,63,50,63,63,20,0.25,10,0.061603863707073714,0.03044739030102117,-0.0225511089845426,0.6925880903655657,0.37680370343265723,0.39099862331886404,-0.3293947596117903
risk_adjusted_momentum,21,21,20,100,63,50,63,63,20,0.25,8,0.061513623603671075,0.03040344312628207,-0.0478061821957555,0.5824257961698174,0.37680370343265723,0.39099862331886404,-0.32948499971519296
obv_accumulation,63,21,20,100,63,50,63,63,20,0.25,10,0.061307800888816155,0.030303199941099868,-0.021780236352104576,0.7800551013531589,0.37680370343265723,0.39099862331886404,-0.3296908224300479
risk_adjusted_momentum,63,21,20,100,63,50,63,63,20,0.25,10,0.060943735261247856,0.030125862949411886,-0.022551108984542934,0.7198915981211753,0.37680370343265723,0.39099862331886404,-0.3300548880576162
obv_accumulation,63,21,20,100,63,50,63,63,20,0.25,8,0.0606312682246557,0.02997363553785859,-0.022150038567503305,0.7393250820075091,0.37680370343265723,0.39099862331886404,-0.33036735509420834
risk_adjusted_momentum,21,21,10,50,63,50,63,63,20,0.25,10,0.06031678526624007,0.029820403446456423,-0.03303227358209926,0.5606604079228993,0.37680370343265723,0.39099862331886404,-0.33068183805262397
quiet_accumulation,21,21,20,100,63,50,63,63,20,0.25,8,0.05961301855179202,0.029477410445849284,-0.044363345282194655,0.547107640770029,0.37680370343265723,0.39099862331886404,-0.331385604767072
momentum_volume,42,21,5,20,63,50,63,63,20,0.25,10,0.059520475789684335,0.029432299670764994,-0.02263877857266472,0.7008563472221309,0.37680370343265723,0.39099862331886404,-0.3314781475291797
quiet_accumulation,42,21,10,50,63,50,63,63,20,0.25,3,0.05938392841741891,0.029365734879574168,-0.022677263466944764,0.6249163920273008,0.37680370343265723,0.39099862331886404,-0.33161469490144513
momentum_volume,21,21,10,50,63,50,63,63,20,0.25,8,0.05915985124973955,0.029256491364145543,-0.03672861727796206,0.5572877799018011,0.37680370343265723,0.39099862331886404,-0.3318387720691245
risk_adjusted_momentum,63,21,20,100,63,50,63,63,20,0.25,5,0.05783732664413077,0.028611491119216348,-0.03860404904050241,0.5481124810770954,0.37680370343265723,0.39099862331886404,-0.33316129667473326
