rebalance_date,asof_date,symbol,score,selected
2016-12-30,2016-10-01,AKRBP,-0.7802927184278083,False
2016-12-30,2016-10-01,STB,-0.8135747107130752,False
2016-12-30,2016-10-01,FRO,-0.9255761023174871,False
2016-12-30,2016-10-01,DNB,-1.354214707009654,False
2017-01-31,2016-11-02,SALM,1.0896562229649767,True
2017-01-31,2016-11-02,MOWI,1.0713830089642353,True
2017-01-31,2016-11-02,AFG,0.9048245046132446,True
2017-01-31,2016-11-02,NHY,0.6861216390140709,True
2017-01-31,2016-11-02,BRG,0.4168079991758963,True
2017-01-31,2016-11-02,VEI,0.3228561700615015,False
2017-01-31,2016-11-02,TOM,0.3133144875227096,False
2017-01-31,2016-11-02,ATEA,0.11097634129466226,False
2017-01-31,2016-11-02,GJF,0.10516973932664667,False
2017-01-31,2016-11-02,ORK,0.04846673284024178,False
2017-01-31,2016-11-02,PROT,0.045343534431599594,False
2017-01-31,2016-11-02,NOD,-0.060771364990862,False
2017-01-31,2016-11-02,SUBC,-0.08354638754541835,False
2017-01-31,2016-11-02,VEND,-0.09387366921203844,False
2017-01-31,2016-11-02,YAR,-0.13806711655539172,False
2017-01-31,2016-11-02,TEL,-0.18539156529506828,False
2017-01-31,2016-11-02,KOG,-0.4076926261579796,False
2017-01-31,2016-11-02,EQNR,-0.5722460784083279,False
2017-01-31,2016-11-02,AKRBP,-0.7802927184278083,False
2017-01-31,2016-11-02,STB,-0.8135747107130752,False
2017-01-31,2016-11-02,FRO,-0.9255761023174871,False
2017-01-31,2016-11-02,DNB,-1.354214707009654,False
2017-02-28,2016-11-30,SALM,1.0896562229649767,True
2017-02-28,2016-11-30,MOWI,1.0713830089642353,True
2017-02-28,2016-11-30,AFG,0.9048245046132446,True
2017-02-28,2016-11-30,NHY,0.6861216390140709,True
2017-02-28,2016-11-30,BRG,0.4168079991758963,True
2017-02-28,2016-11-30,VEI,0.3228561700615015,False
2017-02-28,2016-11-30,TOM,0.3133144875227096,False
2017-02-28,2016-11-30,ATEA,0.11097634129466226,False
2017-02-28,2016-11-30,GJF,0.10516973932664667,False
2017-02-28,2016-11-30,ORK,0.04846673284024178,False
2017-02-28,2016-11-30,PROT,0.045343534431599594,False
2017-02-28,2016-11-30,NOD,-0.060771364990862,False
2017-02-28,2016-11-30,SUBC,-0.08354638754541835,False
2017-02-28,2016-11-30,VEND,-0.09387366921203844,False
2017-02-28,2016-11-30,YAR,-0.13806711655539172,False
