ticker,period_end_date,fundamental_score,quality_score,growth_score
KOG,2017-12-31,0.14213878296478302,0.23911687101812562,-0.14879548119524474
SUBC,2017-12-31,0.10364195222014407,0.1279971468333184,0.030576368380621114
BRG,2017-12-31,0.07388534990008765,0.09363411070979047,0.014639067470979173
GJF,2017-12-31,-0.014519593496838625,-0.007815893049137185,-0.034630694839942945
TEL,2017-12-31,-0.07534841580394253,0.056217240004640595,-0.47004538322969186
PROT,2017-12-31,-0.17621583873606372,-0.1811776867679728,-0.16133029464033655
YAR,2017-12-31,-0.2934632195994814,-0.2797165948287037,-0.3347030939118144
ELK,2017-12-31,-0.32903703459481026,-0.1707560202363711,-0.8038800776701278
STB,2017-12-31,-0.3582792092897657,-0.5125960979739179,0.10467145676269098
EQNR,2017-12-31,-0.5526717212941663,0.033342268970681,-2.3107136920887084
DNB,2017-12-31,-1.6804139802142766,-2.275981421794338,0.10628834452590785
FRO,2017-12-31,-1.8997393297077318,-2.0563792239336083,-1.4298196470301023
MPCC,2017-12-31,,,
VEND,2018-03-31,0.8433102657221506,0.26954029056770723,2.564620191185481
AFG,2018-03-31,0.8189213947114881,1.0619736944647307,0.08976449545176009
SALM,2018-03-31,0.7837838552569439,1.0060580464436089,0.11696128169694917
AKRBP,2018-03-31,0.4368045517257157,0.11290472531051947,1.4085040309713044
VEI,2018-03-31,0.38241471192069143,0.44995956900255446,0.17978014067510237
NHY,2018-03-31,0.3550042864539233,0.32808007091422997,0.43577693307300325
ORK,2018-03-31,0.3008361299651474,0.34692625218924955,0.16256576329284098
ATEA,2018-03-31,0.2951657713133481,0.34953554686521526,0.13205644465774655
MOWI,2018-03-31,0.25611537342467044,0.3825098425725276,-0.12306803401890115
TOM,2018-03-31,0.20260188147792202,0.28161371220494796,-0.03443361070315579
BRG,2018-03-31,0.20060644894081767,0.24369609853131463,0.07133750016932675
NOD,2018-03-31,0.18261615889191235,0.2104066998768881,0.09924453593698508
KOG,2018-03-31,0.16017088361344978,0.19759698982741136,0.04789256497156507
SUBC,2018-03-31,0.14480535282723567,0.21923601586980584,-0.07848663630047478
TEL,2018-03-31,0.10340471745312277,0.1639815544743861,-0.07832579361066715
GJF,2018-03-31,0.04752509959229952,0.06570856509350162,-0.007025296911306757
ELK,2018-03-31,0.03935645330685318,0.15718136051612241,-0.3141182683209545
PROT,2018-03-31,0.004341488738695977,0.05127436384781012,-0.13645713658864644
YAR,2018-03-31,-0.10269289389460526,-0.09361785813934069,-0.12991800116039898
STB,2018-03-31,-0.19275409393073287,-0.31850673401223306,0.1845038263137677
EQNR,2018-03-31,-0.281887473937937,0.1694835803479541,-1.6360006367956104
DNB,2018-03-31,-1.2804678103370322,-1.7869825830906505,0.2390765079238232
MPCC,2018-03-31,-1.4094341269516697,-1.8792455026022261,
FRO,2018-03-31,-2.1894708173215207,-1.8545441557921811,-3.1942508019095395
AFG,2018-06-30,0.871142373698458,1.0732384447808956,0.2648541604511452
SALM,2018-06-30,0.8234905663437138,0.9955991834509077,0.30716471502213183
NOD,2018-06-30,0.41066927796245845,0.4514181926286903,0.28842253396376266
NHY,2018-06-30,0.3889725463640954,0.31659308004312037,0.6061109453270204
AKRBP,2018-06-30,0.3761679249191459,0.1981910636385728,0.9100985087608653
ELK,2018-06-30,0.35494501946333046,0.4048710667386156,0.2051668776374749
MOWI,2018-06-30,0.3477896257038215,0.3998546922713999,0.1915944260010862
ORK,2018-06-30,0.30525809536242143,0.2959331428635248,0.33323295285911136
VEND,2018-06-30,0.2888928546987225,0.3292424278087195,0.16784413536873147
KOG,2018-06-30,0.28872698214681775,0.19904418482643638,0.5577753741079619
ATEA,2018-06-30,0.28655358822006816,0.28228920737357366,0.29934673075955176
TEL,2018-06-30,0.23736830904146913,0.21360030009215963,0.3086723358893976
